,writer,book,birth,min_bookDate
40,http://dbpedia.org/resource/Larry_Niven,http://dbpedia.org/resource/A_World_Out_of_Time;http://dbpedia.org/resource/All_the_Myriad_Ways;http://dbpedia.org/resource/Bridging_the_Galaxies;http://dbpedia.org/resource/Inconstant_Moon;http://dbpedia.org/resource/Rainbow_Mars;http://dbpedia.org/resource/Stars_and_Gods;http://dbpedia.org/resource/Tales_of_Known_Space;http://dbpedia.org/resource/The_Best_of_Larry_Niven;http://dbpedia.org/resource/The_Flight_of_the_Horse;http://dbpedia.org/resource/The_Flying_Sorcerers;http://dbpedia.org/resource/The_Gripping_Hand;http://dbpedia.org/resource/The_Integral_Trees;http://dbpedia.org/resource/The_Legacy_of_Heorot;http://dbpedia.org/resource/The_Ringworld_Engineers;http://dbpedia.org/resource/The_Ringworld_Throne;http://dbpedia.org/resource/Beowulf's_Children;http://dbpedia.org/resource/Escape_from_Hell_(novel);http://dbpedia.org/resource/Inferno_(Niven_and_Pournelle_novel);http://dbpedia.org/resource/Lucifer's_Hammer;http://dbpedia.org/resource/N-Space_(short_story_collection);http://dbpedia.org/resource/Ringworld's_Children;http://dbpedia.org/resource/The_Mote_in_God's_Eye;http://dbpedia.org/resource/The_Smoke_Ring_(novel),1938,1971
41,http://dbpedia.org/resource/Daniel_Silva_(novelist),http://dbpedia.org/resource/The_English_Girl;http://dbpedia.org/resource/Moscow_Rules_(novel);http://dbpedia.org/resource/The_English_Assassin_(Silva_novel),1960,2002
42,http://dbpedia.org/resource/Lincoln_Child,http://dbpedia.org/resource/Relic_(novel);http://dbpedia.org/resource/Reliquary_(novel);http://dbpedia.org/resource/Death_Match_(Child_novel),1957,1995
43,http://dbpedia.org/resource/Kurt_Vonnegut,"http://dbpedia.org/resource/Armageddon_in_Retrospect;http://dbpedia.org/resource/Look_at_the_Birdie;http://dbpedia.org/resource/The_Sirens_of_Titan;http://dbpedia.org/resource/Welcome_to_the_Monkey_House;http://dbpedia.org/resource/Bluebeard_(Vonnegut_novel);http://dbpedia.org/resource/Cat's_Cradle;http://dbpedia.org/resource/God_Bless_You,_Mr._Rosewater;http://dbpedia.org/resource/Hocus_Pocus_(novel);http://dbpedia.org/resource/Palm_Sunday_(book);http://dbpedia.org/resource/Player_Piano_(novel);http://dbpedia.org/resource/While_Mortals_Sleep_(short_story_collection)",1922,1952
44,http://dbpedia.org/resource/E._L._Konigsburg,"http://dbpedia.org/resource/The_View_from_Saturday;http://dbpedia.org/resource/Jennifer,_Hecate,_Macbeth,_William_McKinley,_and_Me,_Elizabeth",1930,1967
45,http://dbpedia.org/resource/Carol_Ryrie_Brink,http://dbpedia.org/resource/Caddie_Woodlawn;http://dbpedia.org/resource/Magical_Melons;http://dbpedia.org/resource/Caddie_Woodlawn_(musical),1895,1936
46,http://dbpedia.org/resource/Roger_Zelazny,"http://dbpedia.org/resource/A_Dark_Traveling;http://dbpedia.org/resource/Blood_of_Amber;http://dbpedia.org/resource/Bring_Me_the_Head_of_Prince_Charming;http://dbpedia.org/resource/Creatures_of_Light_and_Darkness;http://dbpedia.org/resource/Damnation_Alley;http://dbpedia.org/resource/Deus_Irae;http://dbpedia.org/resource/Donnerjack;http://dbpedia.org/resource/Doorways_in_the_Sand;http://dbpedia.org/resource/Eye_of_Cat;http://dbpedia.org/resource/Four_for_Tomorrow;http://dbpedia.org/resource/Here_There_Be_Dragons;http://dbpedia.org/resource/Jack_of_Shadows;http://dbpedia.org/resource/Knight_of_Shadows;http://dbpedia.org/resource/Lord_Demon;http://dbpedia.org/resource/Madwand;http://dbpedia.org/resource/Manna_from_Heaven;http://dbpedia.org/resource/Nine_Princes_in_Amber;http://dbpedia.org/resource/Prince_of_Chaos;http://dbpedia.org/resource/Psychoshop;http://dbpedia.org/resource/Roadmarks;http://dbpedia.org/resource/Sign_of_Chaos;http://dbpedia.org/resource/Sign_of_the_Unicorn;http://dbpedia.org/resource/The_Changing_Land;http://dbpedia.org/resource/The_Dream_Master;http://dbpedia.org/resource/The_Guns_of_Avalon;http://dbpedia.org/resource/The_Hand_of_Oberon;http://dbpedia.org/resource/The_Last_Defender_of_Camelot;http://dbpedia.org/resource/The_Mask_of_Loki;http://dbpedia.org/resource/To_Die_in_Italbar;http://dbpedia.org/resource/Trumps_of_Doom;http://dbpedia.org/resource/Unicorn_Variations;http://dbpedia.org/resource/Way_Up_High;http://dbpedia.org/resource/Dilvish,_the_Damned;http://dbpedia.org/resource/Flare_(novel);http://dbpedia.org/resource/Frost_&_Fire;http://dbpedia.org/resource/Isle_of_the_Dead_(Zelazny_novel);http://dbpedia.org/resource/My_Name_Is_Legion_(short_story_collection);http://dbpedia.org/resource/The_Chronicles_of_Amber_(omnibus);http://dbpedia.org/resource/The_Doors_of_His_Face,_The_Lamps_of_His_Mouth,_and_Other_Stories;http://dbpedia.org/resource/The_Last_Defender_of_Camelot_(2002_book)",1937,1966
47,http://dbpedia.org/resource/Catherine_Asaro,http://dbpedia.org/resource/The_Last_Hawk;http://dbpedia.org/resource/The_Quantum_Rose;http://dbpedia.org/resource/The_Ruby_Dice,1955,1997
48,http://dbpedia.org/resource/Charles_Stross,http://dbpedia.org/resource/Iron_Sunrise;http://dbpedia.org/resource/The_Annihilation_Score;http://dbpedia.org/resource/The_Apocalypse_Codex;http://dbpedia.org/resource/The_Family_Trade;http://dbpedia.org/resource/The_Fuller_Memorandum;http://dbpedia.org/resource/The_Hidden_Family;http://dbpedia.org/resource/The_Jennifer_Morgue;http://dbpedia.org/resource/The_Rhesus_Chart;http://dbpedia.org/resource/Glasshouse_(novel);http://dbpedia.org/resource/Toast:_And_Other_Rusted_Futures;http://dbpedia.org/resource/Wireless:_The_Essential_Charles_Stross,1964,2002
49,http://dbpedia.org/resource/E._E._Smith,http://dbpedia.org/resource/First_Lensman;http://dbpedia.org/resource/Gray_Lensman;http://dbpedia.org/resource/Second_Stage_Lensmen;http://dbpedia.org/resource/Skylark_DuQuesne;http://dbpedia.org/resource/Skylark_Three;http://dbpedia.org/resource/Skylark_of_Valeron;http://dbpedia.org/resource/Spacehounds_of_IPC;http://dbpedia.org/resource/Subspace_Explorers;http://dbpedia.org/resource/The_History_of_Civilization;http://dbpedia.org/resource/The_Skylark_of_Space;http://dbpedia.org/resource/The_Vortex_Blaster;http://dbpedia.org/resource/Children_of_the_Lens_(novel);http://dbpedia.org/resource/Triplanetary_(novel),1890,1946
