,birth,book,writer,min_bookDate
28,1926,http://dbpedia.org/resource/The_Act_of_Marriage;http://dbpedia.org/resource/The_Indwelling;http://dbpedia.org/resource/Tribulation_Force;http://dbpedia.org/resource/Armageddon_(novel);http://dbpedia.org/resource/Assassins_(LaHaye_novel);http://dbpedia.org/resource/The_Mark_(novel);http://dbpedia.org/resource/The_Remnant_(novel),http://dbpedia.org/resource/Tim_LaHaye,1996
29,1956,http://dbpedia.org/resource/Watch_on_the_Rhine_(novel),http://dbpedia.org/resource/Tom_Kratman,2007
30,1945,http://dbpedia.org/resource/The_Paper_Bag_Princess;http://dbpedia.org/resource/Giant;_or_Waiting_for_the_Thursday_Boat,http://dbpedia.org/resource/Robert_Munsch,1980
31,1975,http://dbpedia.org/resource/Get_into_Bed_with_Google;http://dbpedia.org/resource/The_Bloke's_Guide_To_Pregnancy,http://dbpedia.org/resource/Jon_Smith,2004
32,1970,http://dbpedia.org/resource/Dead_Even;http://dbpedia.org/resource/Heroes_for_My_Daughter;http://dbpedia.org/resource/Heroes_for_My_Son;http://dbpedia.org/resource/I_Am_Abraham_Lincoln;http://dbpedia.org/resource/I_Am_Albert_Einstein;http://dbpedia.org/resource/I_Am_Amelia_Earhart;http://dbpedia.org/resource/I_Am_Rosa_Parks;http://dbpedia.org/resource/The_First_Counsel,http://dbpedia.org/resource/Brad_Meltzer,2014
33,1956,http://dbpedia.org/resource/In_the_Pond;http://dbpedia.org/resource/War_Trash,http://dbpedia.org/resource/Ha_Jin,1998
34,1977,http://dbpedia.org/resource/I_Am_Not_a_Serial_Killer,http://dbpedia.org/resource/Dan_Wells_(author),2009
35,1927,http://dbpedia.org/resource/Flowers_for_Algernon;http://dbpedia.org/resource/The_Minds_of_Billy_Milligan,http://dbpedia.org/resource/Daniel_Keyes,1959
36,1972,http://dbpedia.org/resource/Boy_Meets_Boy_(novel),http://dbpedia.org/resource/David_Levithan,2003
37,1960,http://dbpedia.org/resource/The_Virgin_Suicides,http://dbpedia.org/resource/Jeffrey_Eugenides,1993
38,1954,http://dbpedia.org/resource/Crystal_Express;http://dbpedia.org/resource/Islands_in_the_Net;http://dbpedia.org/resource/Schismatrix;http://dbpedia.org/resource/The_Caryatids;http://dbpedia.org/resource/The_Difference_Engine;http://dbpedia.org/resource/The_Zenith_Angle;http://dbpedia.org/resource/Holy_Fire_(novel),http://dbpedia.org/resource/Bruce_Sterling,1985
39,1955,http://dbpedia.org/resource/The_Angel_of_Darkness;http://dbpedia.org/resource/The_Italian_Secretary,http://dbpedia.org/resource/Caleb_Carr,1997
40,1938,http://dbpedia.org/resource/A_World_Out_of_Time;http://dbpedia.org/resource/All_the_Myriad_Ways;http://dbpedia.org/resource/Bridging_the_Galaxies;http://dbpedia.org/resource/Inconstant_Moon;http://dbpedia.org/resource/Rainbow_Mars;http://dbpedia.org/resource/Stars_and_Gods;http://dbpedia.org/resource/Tales_of_Known_Space;http://dbpedia.org/resource/The_Best_of_Larry_Niven;http://dbpedia.org/resource/The_Flight_of_the_Horse;http://dbpedia.org/resource/The_Flying_Sorcerers;http://dbpedia.org/resource/The_Gripping_Hand;http://dbpedia.org/resource/The_Integral_Trees;http://dbpedia.org/resource/The_Legacy_of_Heorot;http://dbpedia.org/resource/The_Ringworld_Engineers;http://dbpedia.org/resource/The_Ringworld_Throne;http://dbpedia.org/resource/Beowulf's_Children;http://dbpedia.org/resource/Escape_from_Hell_(novel);http://dbpedia.org/resource/Inferno_(Niven_and_Pournelle_novel);http://dbpedia.org/resource/Lucifer's_Hammer;http://dbpedia.org/resource/N-Space_(short_story_collection);http://dbpedia.org/resource/Ringworld's_Children;http://dbpedia.org/resource/The_Mote_in_God's_Eye;http://dbpedia.org/resource/The_Smoke_Ring_(novel),http://dbpedia.org/resource/Larry_Niven,1971
41,1960,http://dbpedia.org/resource/The_English_Girl;http://dbpedia.org/resource/Moscow_Rules_(novel);http://dbpedia.org/resource/The_English_Assassin_(Silva_novel),http://dbpedia.org/resource/Daniel_Silva_(novelist),2002
42,1957,http://dbpedia.org/resource/Relic_(novel);http://dbpedia.org/resource/Reliquary_(novel);http://dbpedia.org/resource/Death_Match_(Child_novel),http://dbpedia.org/resource/Lincoln_Child,1995
43,1922,"http://dbpedia.org/resource/Armageddon_in_Retrospect;http://dbpedia.org/resource/Look_at_the_Birdie;http://dbpedia.org/resource/The_Sirens_of_Titan;http://dbpedia.org/resource/Welcome_to_the_Monkey_House;http://dbpedia.org/resource/Bluebeard_(Vonnegut_novel);http://dbpedia.org/resource/Cat's_Cradle;http://dbpedia.org/resource/God_Bless_You,_Mr._Rosewater;http://dbpedia.org/resource/Hocus_Pocus_(novel);http://dbpedia.org/resource/Palm_Sunday_(book);http://dbpedia.org/resource/Player_Piano_(novel);http://dbpedia.org/resource/While_Mortals_Sleep_(short_story_collection)",http://dbpedia.org/resource/Kurt_Vonnegut,1952
44,1930,"http://dbpedia.org/resource/The_View_from_Saturday;http://dbpedia.org/resource/Jennifer,_Hecate,_Macbeth,_William_McKinley,_and_Me,_Elizabeth",http://dbpedia.org/resource/E._L._Konigsburg,1967
45,1895,http://dbpedia.org/resource/Caddie_Woodlawn;http://dbpedia.org/resource/Magical_Melons;http://dbpedia.org/resource/Caddie_Woodlawn_(musical),http://dbpedia.org/resource/Carol_Ryrie_Brink,1936
46,1937,"http://dbpedia.org/resource/A_Dark_Traveling;http://dbpedia.org/resource/Blood_of_Amber;http://dbpedia.org/resource/Bring_Me_the_Head_of_Prince_Charming;http://dbpedia.org/resource/Creatures_of_Light_and_Darkness;http://dbpedia.org/resource/Damnation_Alley;http://dbpedia.org/resource/Deus_Irae;http://dbpedia.org/resource/Donnerjack;http://dbpedia.org/resource/Doorways_in_the_Sand;http://dbpedia.org/resource/Eye_of_Cat;http://dbpedia.org/resource/Four_for_Tomorrow;http://dbpedia.org/resource/Here_There_Be_Dragons;http://dbpedia.org/resource/Jack_of_Shadows;http://dbpedia.org/resource/Knight_of_Shadows;http://dbpedia.org/resource/Lord_Demon;http://dbpedia.org/resource/Madwand;http://dbpedia.org/resource/Manna_from_Heaven;http://dbpedia.org/resource/Nine_Princes_in_Amber;http://dbpedia.org/resource/Prince_of_Chaos;http://dbpedia.org/resource/Psychoshop;http://dbpedia.org/resource/Roadmarks;http://dbpedia.org/resource/Sign_of_Chaos;http://dbpedia.org/resource/Sign_of_the_Unicorn;http://dbpedia.org/resource/The_Changing_Land;http://dbpedia.org/resource/The_Dream_Master;http://dbpedia.org/resource/The_Guns_of_Avalon;http://dbpedia.org/resource/The_Hand_of_Oberon;http://dbpedia.org/resource/The_Last_Defender_of_Camelot;http://dbpedia.org/resource/The_Mask_of_Loki;http://dbpedia.org/resource/To_Die_in_Italbar;http://dbpedia.org/resource/Trumps_of_Doom;http://dbpedia.org/resource/Unicorn_Variations;http://dbpedia.org/resource/Way_Up_High;http://dbpedia.org/resource/Dilvish,_the_Damned;http://dbpedia.org/resource/Flare_(novel);http://dbpedia.org/resource/Frost_&_Fire;http://dbpedia.org/resource/Isle_of_the_Dead_(Zelazny_novel);http://dbpedia.org/resource/My_Name_Is_Legion_(short_story_collection);http://dbpedia.org/resource/The_Chronicles_of_Amber_(omnibus);http://dbpedia.org/resource/The_Doors_of_His_Face,_The_Lamps_of_His_Mouth,_and_Other_Stories;http://dbpedia.org/resource/The_Last_Defender_of_Camelot_(2002_book)",http://dbpedia.org/resource/Roger_Zelazny,1966
47,1955,http://dbpedia.org/resource/The_Last_Hawk;http://dbpedia.org/resource/The_Quantum_Rose;http://dbpedia.org/resource/The_Ruby_Dice,http://dbpedia.org/resource/Catherine_Asaro,1997
48,1964,http://dbpedia.org/resource/Iron_Sunrise;http://dbpedia.org/resource/The_Annihilation_Score;http://dbpedia.org/resource/The_Apocalypse_Codex;http://dbpedia.org/resource/The_Family_Trade;http://dbpedia.org/resource/The_Fuller_Memorandum;http://dbpedia.org/resource/The_Hidden_Family;http://dbpedia.org/resource/The_Jennifer_Morgue;http://dbpedia.org/resource/The_Rhesus_Chart;http://dbpedia.org/resource/Glasshouse_(novel);http://dbpedia.org/resource/Toast:_And_Other_Rusted_Futures;http://dbpedia.org/resource/Wireless:_The_Essential_Charles_Stross,http://dbpedia.org/resource/Charles_Stross,2002
49,1890,http://dbpedia.org/resource/First_Lensman;http://dbpedia.org/resource/Gray_Lensman;http://dbpedia.org/resource/Second_Stage_Lensmen;http://dbpedia.org/resource/Skylark_DuQuesne;http://dbpedia.org/resource/Skylark_Three;http://dbpedia.org/resource/Skylark_of_Valeron;http://dbpedia.org/resource/Spacehounds_of_IPC;http://dbpedia.org/resource/Subspace_Explorers;http://dbpedia.org/resource/The_History_of_Civilization;http://dbpedia.org/resource/The_Skylark_of_Space;http://dbpedia.org/resource/The_Vortex_Blaster;http://dbpedia.org/resource/Children_of_the_Lens_(novel);http://dbpedia.org/resource/Triplanetary_(novel),http://dbpedia.org/resource/E._E._Smith,1946
50,1949,http://dbpedia.org/resource/Queen_of_the_Falls;http://dbpedia.org/resource/The_Wretched_Stone;http://dbpedia.org/resource/Two_Bad_Ants;http://dbpedia.org/resource/Jumanji_(picture_book),http://dbpedia.org/resource/Chris_Van_Allsburg,1981
51,1962,http://dbpedia.org/resource/Invisible_Monsters;http://dbpedia.org/resource/Tell-All;http://dbpedia.org/resource/Haunted_(Palahniuk_novel);http://dbpedia.org/resource/Rant_(novel);http://dbpedia.org/resource/Snuff_(Palahniuk_novel);http://dbpedia.org/resource/Survivor_(Palahniuk_novel),http://dbpedia.org/resource/Chuck_Palahniuk,1999
52,1947,http://dbpedia.org/resource/Dave_at_Night;http://dbpedia.org/resource/Disney_Fairies;http://dbpedia.org/resource/Ella_Enchanted;http://dbpedia.org/resource/The_Two_Princesses_of_Bamarre;http://dbpedia.org/resource/The_Wish_(novel),http://dbpedia.org/resource/Gail_Carson_Levine,1997
53,1940,http://dbpedia.org/resource/Bug_Jack_Barron;http://dbpedia.org/resource/Child_of_Fortune;http://dbpedia.org/resource/The_Iron_Dream;http://dbpedia.org/resource/The_Last_Hurrah_of_the_Golden_Horde;http://dbpedia.org/resource/The_Solarians,http://dbpedia.org/resource/Norman_Spinrad,1966
54,1942,"http://dbpedia.org/resource/Babel-17;http://dbpedia.org/resource/Captives_of_the_Flame;http://dbpedia.org/resource/City_of_a_Thousand_Suns;http://dbpedia.org/resource/Dark_Reflections;http://dbpedia.org/resource/Dhalgren;http://dbpedia.org/resource/Distant_Stars;http://dbpedia.org/resource/Driftglass;http://dbpedia.org/resource/Empire_Star;http://dbpedia.org/resource/Flight_from_Nevèrÿon;http://dbpedia.org/resource/Longer_Views;http://dbpedia.org/resource/Nebula_Winners_Thirteen;http://dbpedia.org/resource/Neveryóna;http://dbpedia.org/resource/Shorter_Views;http://dbpedia.org/resource/Silent_Interviews;http://dbpedia.org/resource/Stars_in_My_Pocket_Like_Grains_of_Sand;http://dbpedia.org/resource/Tales_of_Nevèrÿon;http://dbpedia.org/resource/The_Ballad_of_Beta-2;http://dbpedia.org/resource/The_Complete_Nebula_Award-Winning_Fiction;http://dbpedia.org/resource/The_Einstein_Intersection;http://dbpedia.org/resource/The_Fall_of_the_Towers;http://dbpedia.org/resource/The_Jewels_of_Aptor;http://dbpedia.org/resource/The_Mad_Man;http://dbpedia.org/resource/The_Motion_of_Light_in_Water;http://dbpedia.org/resource/The_Towers_of_Toron;http://dbpedia.org/resource/They_Fly_at_Çiron;http://dbpedia.org/resource/Atlantis:_Three_Tales;http://dbpedia.org/resource/Aye,_and_Gomorrah,_and_other_stories;http://dbpedia.org/resource/Driftglass/Starshards;http://dbpedia.org/resource/Equinox_(novel);http://dbpedia.org/resource/Hogg_(novel);http://dbpedia.org/resource/Nova_(novel);http://dbpedia.org/resource/Phallos_(novella);http://dbpedia.org/resource/Quark/1;http://dbpedia.org/resource/Quark/2;http://dbpedia.org/resource/Quark/3;http://dbpedia.org/resource/Quark/4;http://dbpedia.org/resource/Times_Square_Red,_Times_Square_Blue;http://dbpedia.org/resource/Triton_(novel)",http://dbpedia.org/resource/Samuel_R._Delany,1962
55,1906,http://dbpedia.org/resource/Death_from_a_Top_Hat;http://dbpedia.org/resource/No_Coffin_for_the_Corpse;http://dbpedia.org/resource/The_Footprints_on_the_Ceiling;http://dbpedia.org/resource/The_Headless_Lady,http://dbpedia.org/resource/Clayton_Rawson,1938
56,1951,http://dbpedia.org/resource/The_Known_World,http://dbpedia.org/resource/Edward_P._Jones,2003
57,1942,http://dbpedia.org/resource/The_Miracle_of_Castel_di_Sangro,http://dbpedia.org/resource/Joe_McGinniss,1999
58,1929,http://dbpedia.org/resource/Changing_Planes;http://dbpedia.org/resource/City_of_Illusions;http://dbpedia.org/resource/Four_Ways_to_Forgiveness;http://dbpedia.org/resource/Orsinian_Tales;http://dbpedia.org/resource/Planet_of_Exile;http://dbpedia.org/resource/The_Compass_Rose;http://dbpedia.org/resource/The_Eye_of_the_Heron;http://dbpedia.org/resource/The_Lathe_of_Heaven,http://dbpedia.org/resource/Ursula_K._Le_Guin,1966
59,1931,http://dbpedia.org/resource/Boys_and_Girls_Together;http://dbpedia.org/resource/Hype_and_Glory;http://dbpedia.org/resource/The_Color_of_Light;http://dbpedia.org/resource/The_Princess_Bride;http://dbpedia.org/resource/The_Silent_Gondoliers;http://dbpedia.org/resource/Wait_Till_Next_Year;http://dbpedia.org/resource/Brothers_(Goldman_novel);http://dbpedia.org/resource/Control_(novel);http://dbpedia.org/resource/Father's_Day_(novel);http://dbpedia.org/resource/Heat_(Goldman_novel);http://dbpedia.org/resource/Magic_(novel);http://dbpedia.org/resource/Marathon_Man_(novel);http://dbpedia.org/resource/Tinsel_(novel);http://dbpedia.org/resource/Which_Lie_Did_I_Tell%3F,http://dbpedia.org/resource/William_Goldman,1964
60,1949,http://dbpedia.org/resource/The_Wanderers_(Price_novel),http://dbpedia.org/resource/Richard_Price_(writer),1974
61,1945,http://dbpedia.org/resource/To_Say_Nothing_of_the_Dog;http://dbpedia.org/resource/A_Woman's_Liberation;http://dbpedia.org/resource/Bellwether_(novel);http://dbpedia.org/resource/Doomsday_Book_(novel);http://dbpedia.org/resource/Passage_(Willis_novel);http://dbpedia.org/resource/Remake_(novel),http://dbpedia.org/resource/Connie_Willis,1992
62,1937,http://dbpedia.org/resource/And_Chaos_Died;http://dbpedia.org/resource/The_Female_Man;http://dbpedia.org/resource/The_Two_of_Them;http://dbpedia.org/resource/The_Zanzibar_Cat,http://dbpedia.org/resource/Joanna_Russ,1970
63,1988,http://dbpedia.org/resource/Kingdom_of_The_Soap_Queen:_The_Story_of_Balaji_Telefilms;http://dbpedia.org/resource/Redrawing_India:_The_Teach_For_India_Story,http://dbpedia.org/resource/Kovid_Gupta,2014
64,1981,http://dbpedia.org/resource/We_Need_New_Names,http://dbpedia.org/resource/NoViolet_Bulawayo,2013
65,1885,http://dbpedia.org/resource/Northwest_Passage_(novel),http://dbpedia.org/resource/Kenneth_Roberts_(author),1937
66,1956,http://dbpedia.org/resource/Kira-Kira,http://dbpedia.org/resource/Cynthia_Kadohata,2005
67,1923,http://dbpedia.org/resource/Gladiator-At-Law;http://dbpedia.org/resource/Not_This_August;http://dbpedia.org/resource/Search_the_Sky;http://dbpedia.org/resource/The_Space_Merchants;http://dbpedia.org/resource/The_Syndic;http://dbpedia.org/resource/Wolfbane_(novel),http://dbpedia.org/resource/Cyril_M._Kornbluth,1953
68,1885,http://dbpedia.org/resource/The_Lost_Girl;http://dbpedia.org/resource/The_Rainbow;http://dbpedia.org/resource/The_White_Peacock;http://dbpedia.org/resource/The_Trespasser_(novel),http://dbpedia.org/resource/D._H._Lawrence,1911
69,1947,http://dbpedia.org/resource/A_Perfect_Stranger;http://dbpedia.org/resource/Kaleidoscope_(novel);http://dbpedia.org/resource/The_Gift_(Steel_novel),http://dbpedia.org/resource/Danielle_Steel,1981
